Company,Sector,Continent
CISCO SYSTEMS INC,Electronics industry,North America
NOKIA OYJ,Electronics industry,Europe
QUALCOMM INC,Electronics industry,North America
CIENA CORP,Electronics industry,North America
INTEL CORP,Electronics industry,North America
TOSHIBA CORPORATION,Electronics industry,Asia
"JABIL, INC.",Electronics industry,North America
FLEX LIMITED,Electronics industry,Asia
MICRON TECHNOLOGY INC,Electronics industry,North America
SHARP CORPORATION,Electronics industry,Asia
"LG DISPLAY CO.,LTD.",Electronics industry,Asia
TEXAS INSTRUMENTS INC,Electronics industry,North America
MURATA MANUFACTURING CO LTD,Electronics industry,Asia
INFINEON TECHNOLOGIES AG,Electronics industry,Europe
STMICROELECTRONICS NV,Electronics industry,Europe
DELTA ELECTRONICS INC,Electronics industry,Asia
AMPHENOL CORP,Electronics industry,North America
DOVER CORPORATION,Electronics industry,North America
ADVANCED MICRO DEVICES INC,Electronics industry,North America
RENESAS ELECTRONICS CORPORATION,Electronics industry,Asia
"ROCKWELL AUTOMATION, INC.",Electronics industry,North America
ANALOG DEVICES INC,Electronics industry,North America
"SKYWORKS SOLUTIONS, INC.",Electronics industry,North America
MARVELL TECHNOLOGY GROUP LIMITED,Electronics industry,North America
TTM TECHNOLOGIES INC,Electronics industry,North America
TAIYO YUDEN COMPANY LIMITED,Electronics industry,Asia
CIRRUS LOGIC INC,Electronics industry,North America
DIODES INC,Electronics industry,North America
ULTRA ELECTRONICS HOLDINGS PLC,Electronics industry,Europe
MERSEN,Electronics industry,Europe
ADVANCED ENERGY INDUSTRIES INC,Electronics industry,North America
AXT INC,Electronics industry,North America
FUELCELL ENERGY INC,Electronics industry,North America
THALES DIS FRANCE SA,Electronics industry,Europe
HITACHI LTD,Electronics industry,Asia
HP INC.,Electronics industry,North America
LENOVO GROUP LIMITED,Electronics industry,Asia
FUJITSU LIMITED,Electronics industry,Asia
NEC CORPORATION,Electronics industry,Asia
EMC CORP,Electronics industry,North America
WESTERN DIGITAL CORP,Electronics industry,North America
NVIDIA CORP,Electronics industry,North America
ZEBRA TECHNOLOGIES CORP,Electronics industry,North America
"DIEBOLD NIXDORF, INC",Electronics industry,North America
STRATASYS LIMITED,Electronics industry,Asia
SEACHANGE INTERNATIONAL INC,Electronics industry,North America
RADCOM LIMITED,Electronics industry,Asia
ANOTO GROUP AB,Electronics industry,Europe
"BEST BUY CO, INC",Electronics industry,North America
GAMESTOP CORP.,Electronics industry,North America
MEDION AG,Electronics industry,Europe
PLANTRONICS INC.,Electronics industry,North America
PANASONIC CORPORATION,Electronics industry,Asia
KONINKLIJKE PHILIPS N.V.,Electronics industry,Europe
DEUTSCHE TELEKOM AG,Telecommunications industry,Europe
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,Telecommunications industry,Asia
VERIZON COMMUNICATIONS INC,Telecommunications industry,North America
"NETFLIX, INC.",Telecommunications industry,North America
PLDT INC.,Telecommunications industry,Asia
VODAFONE GROUP PLC,Telecommunications industry,Europe
BT GROUP PLC,Telecommunications industry,Europe
TELSTRA CORPORATION LIMITED,Telecommunications industry,Other
BAIDU INCORPORATED,Telecommunications industry,North America
PCCW LIMITED,Telecommunications industry,Asia
JOHNSON MATTHEY PLC,Chemicals,Europe
MITSUI CHEMICALS INC,Chemicals,Asia
SANYO CHEMICAL INDUSTRIES LTD,Chemicals,Asia
FMC CORP,Chemicals,North America
HENKEL AG & CO.,Chemicals,Europe
LANXESS AG,Chemicals,Europe
QUAKER CHEMICAL CORP,Chemicals,North America
WESTLAKE CHEMICAL PARTNERS LP,Chemicals,North America
WILLIAMS SONOMA INC,Others,North America
SEB SA,Others,Europe
ROBERT HALF INTERNATIONAL INC.,Others,North America
TENET HEALTHCARE CORP,Others,North America
MASTEC INC,Others,North America
"EXPEDIA GROUP, INC.",Others,North America
PARKER HANNIFIN CORP,Others,North America
LINDE GMBH,Others,Europe
AVIENT CORP,Others,North America
FEDEX CORP,Others,North America
"WESCO INTERNATIONAL, INC.",Others,North America
NEXITY,Others,Europe
SPX CORP,Others,North America
WORTHINGTON INDUSTRIES INC,Others,North America
QUANTA SERVICES INC,Others,North America
IVU TRAFFIC TECHNOLOGIES AG,Others,Europe
DOWA HOLDINGS CO LTD,Others,Asia
BILFINGER SE,Others,Europe
